N,time
82000,2.02951e+06
82100,2.02562e+06
82200,2.0406e+06
82300,2.08097e+06
82400,2.05435e+06
82500,2.0506e+06
82600,2.06142e+06
82700,2.04883e+06
82800,2.04556e+06
82900,2.05503e+06
83000,2.06469e+06
83100,2.06282e+06
83200,2.05367e+06
83300,2.54622e+06
83400,2.06506e+06
83500,2.06491e+06
83600,2.10531e+06
83700,2.06334e+06
83800,2.15868e+06
83900,2.08316e+06
84000,2.29517e+06
84100,2.07786e+06
84200,2.16911e+06
84300,2.10766e+06
84400,2.0815e+06
84500,2.10222e+06
84600,2.08606e+06
84700,2.09207e+06
84800,2.14305e+06
84900,2.09236e+06
85000,2.11326e+06
85100,2.1389e+06
85200,2.10698e+06
85300,2.10443e+06
85400,2.10988e+06
85500,2.10826e+06
85600,2.112e+06
85700,2.11876e+06
85800,2.11041e+06
85900,2.15403e+06
86000,2.1273e+06
86100,2.12779e+06
86200,2.12415e+06
86300,2.12819e+06
86400,2.12497e+06
86500,2.12814e+06
86600,2.13874e+06
86700,2.13264e+06
86800,2.14608e+06
86900,2.183e+06
87000,2.1688e+06
87100,2.14685e+06
87200,2.15872e+06
87300,2.15043e+06
87400,2.15622e+06
87500,2.16579e+06
87600,2.15668e+06
87700,2.17053e+06
87800,2.25381e+06
87900,2.47695e+06
88000,2.16761e+06
88100,2.17934e+06
88200,2.36291e+06
88300,2.22211e+06
88400,2.17681e+06
88500,2.17356e+06
88600,2.19081e+06
88700,2.22292e+06
88800,2.19258e+06
88900,2.18407e+06
89000,2.19859e+06
89100,2.19009e+06
89200,2.19851e+06
89300,2.23887e+06
89400,2.21075e+06
89500,2.22394e+06
89600,2.2475e+06
89700,2.46052e+06
89800,2.20903e+06
89900,2.22305e+06
90000,2.2161e+06
90100,2.22465e+06
90200,2.22347e+06
90300,2.2348e+06
90400,2.26611e+06
90500,2.28665e+06
90600,2.23305e+06
90700,2.23133e+06
90800,2.23815e+06
90900,2.23792e+06
91000,2.24964e+06
91100,2.25248e+06
91200,2.25343e+06
91300,2.28956e+06
91400,2.26356e+06
91500,2.29267e+06
91600,2.29146e+06
91700,2.2535e+06
91800,2.27013e+06
91900,2.25908e+06
92000,2.26992e+06
92100,2.2701e+06
92200,2.64743e+06
92300,2.27114e+06
92400,2.27234e+06
92500,2.32704e+06
92600,2.26842e+06
92700,2.29177e+06
92800,2.2761e+06
92900,2.2886e+06
93000,2.31951e+06
93100,2.3139e+06
93200,2.29277e+06
93300,2.41073e+06
93400,2.64705e+06
93500,2.44531e+06
93600,2.61404e+06
93700,2.45787e+06
93800,2.70347e+06
93900,2.31939e+06
94000,2.30418e+06
94100,2.3801e+06
94200,2.56222e+06
94300,2.33602e+06
94400,2.43884e+06
94500,2.40251e+06
94600,2.47685e+06
94700,2.43225e+06
94800,2.40828e+06
94900,2.41252e+06
95000,2.44427e+06
95100,2.37681e+06
95200,2.3481e+06
95300,2.35322e+06
95400,2.33901e+06
95500,2.39224e+06
95600,2.3475e+06
95700,2.34314e+06
95800,2.34999e+06
95900,2.35103e+06
96000,2.35544e+06
96100,2.35274e+06
96200,2.36129e+06
96300,2.5865e+06
96400,2.3632e+06
96500,2.36096e+06
96600,2.40705e+06
96700,2.37292e+06
96800,2.37515e+06
96900,2.37478e+06
97000,2.42122e+06
97100,2.60791e+06
97200,2.37853e+06
97300,2.37908e+06
97400,2.38625e+06
97500,2.3881e+06
97600,2.39244e+06
97700,2.43268e+06
97800,2.39514e+06
97900,2.43631e+06
98000,2.40148e+06
98100,2.40078e+06
98200,2.40232e+06
98300,2.40478e+06
98400,2.40933e+06
98500,2.41214e+06
98600,2.41602e+06
98700,3.12733e+06
98800,2.42085e+06
98900,2.42033e+06
99000,2.43415e+06
99100,2.42347e+06
99200,2.43052e+06
99300,2.43104e+06
99400,2.4378e+06
99500,2.48323e+06
99600,2.48857e+06
99700,2.48366e+06
99800,2.44205e+06
99900,2.44496e+06
